Station_name,District_name,State_name,Latitude,Longitude,Agency_name,Basin
Shri Kurnool Borewell,Kurnool,Andhra Pradesh,16.975988,76.700086,Andhra Pradesh GWB,Krishna
Prakasam Agricultural Farm,Prakasam,Andhra Pradesh,13.155867,78.361287,Andhra Pradesh GWB,Krishna
Visakhapatnam Town,Visakhapatnam,Andhra Pradesh,15.644463,78.725526,Andhra Pradesh GWB,Godavari
Anantapur Indiranagar Borewell,Anantapur,Andhra Pradesh,13.215472,79.539418,Andhra Pradesh GWB,Krishna
Malleswaram,West Godavari,Andhra Pradesh,19.31181,79.528275,Andhra Pradesh GWB,Pennar
Kurnool East,Kurnool,Andhra Pradesh,12.986886,81.790107,Andhra Pradesh GWB,Godavari
Kurnool Medical Complex,Kurnool,Andhra Pradesh,13.638579,79.342166,Andhra Pradesh GWB,Krishna
Jayanagar,East Godavari,Andhra Pradesh,16.238979,78.458487,Andhra Pradesh GWB,Pennar
Visakhapatnam Municipal Area,Visakhapatnam,Andhra Pradesh,14.769979,82.646509,Andhra Pradesh GWB,Krishna
Anantapur Block,Anantapur,Andhra Pradesh,18.891953,81.03744,Andhra Pradesh GWB,Krishna
West Godavari Railway Colony,West Godavari,Andhra Pradesh,14.354161,78.47302,Andhra Pradesh GWB,Pennar
Krishna Cantonment Borewell,Krishna,Andhra Pradesh,15.295804,78.254566,Andhra Pradesh GWB,Krishna
Kadapa Industrial Estate,Kadapa,Andhra Pradesh,13.569889,77.779856,Andhra Pradesh GWB,Godavari
Visakhapatnam Medical Complex,Visakhapatnam,Andhra Pradesh,16.2038,84.268627,CGWB,Godavari
Kurnool Anna Nagar,Kurnool,Andhra Pradesh,17.880191,79.221404,CGWB,Godavari
West Godavari Colony,West Godavari,Andhra Pradesh,19.303217,82.595698,Andhra Pradesh GWB,Krishna
West Godavari Industrial Estate,West Godavari,Andhra Pradesh,13.569875,82.600086,Andhra Pradesh GWB,Krishna
Old Kurnool Borewell,Kurnool,Andhra Pradesh,19.00369,83.529775,Andhra Pradesh GWB,Krishna
Krishna Station,Krishna,Andhra Pradesh,19.345891,80.761649,Andhra Pradesh GWB,Pennar
West Godavari Medical Complex,West Godavari,Andhra Pradesh,15.461966,78.194386,Andhra Pradesh GWB,Pennar
West Godavari T. Nagar Borewell,West Godavari,Andhra Pradesh,17.049146,80.004801,Andhra Pradesh GWB,Pennar
Guntur Medical Complex Borewell,Guntur,Andhra Pradesh,14.110803,78.261739,Andhra Pradesh GWB,Krishna
Chittoor Malleswaram,Chittoor,Andhra Pradesh,18.517448,77.066859,CGWB,Pennar
East Godavari Anna Nagar,East Godavari,Andhra Pradesh,16.533482,78.443978,Andhra Pradesh GWB,Godavari
Guntur Town,Guntur,Andhra Pradesh,15.769173,82.332607,Andhra Pradesh GWB,Krishna
Old Kadapa,Kadapa,Andhra Pradesh,13.831462,80.088908,CGWB,Pennar
West Godavari Water Works,West Godavari,Andhra Pradesh,13.185361,81.717159,Andhra Pradesh GWB,Godavari
Visakhapatnam Block,Visakhapatnam,Andhra Pradesh,15.869509,83.417203,CGWB,Godavari
Sant West Godavari,West Godavari,Andhra Pradesh,14.496745,82.072732,Andhra Pradesh GWB,Godavari
West Godavari Housing Board Borewell,West Godavari,Andhra Pradesh,12.900157,81.173421,Andhra Pradesh GWB,Krishna
T. Nagar,Chittoor,Andhra Pradesh,12.979649,77.043687,Andhra Pradesh GWB,Krishna
Prakasam University Campus,Prakasam,Andhra Pradesh,16.835671,79.853799,Andhra Pradesh GWB,Pennar
Kadapa Colony,Kadapa,Andhra Pradesh,17.513343,78.409488,CGWB,Krishna
Shri Prakasam,Prakasam,Andhra Pradesh,12.565208,81.469274,CGWB,Krishna
Indiranagar,Madurai,Tamil Nadu,12.835986,77.662872,CGWB,Vaigai
Thanjavur Malleswaram,Thanjavur,Tamil Nadu,10.909174,79.005384,Tamil Nadu GWB,Cauvery
Tirunelveli Housing Board,Tirunelveli,Tamil Nadu,12.083292,76.699516,Tamil Nadu GWB,Vaigai
Greater Tirunelveli Borewell,Tirunelveli,Tamil Nadu,12.69102,78.274341,Tamil Nadu GWB,Cauvery
Shri Namakkal Borewell,Namakkal,Tamil Nadu,11.504124,77.178799,Tamil Nadu GWB,Vaigai
Tirunelveli Village,Tirunelveli,Tamil Nadu,8.814516,76.573505,CGWB,Krishna
Tiruchirappalli Municipal Area,Tiruchirappalli,Tamil Nadu,13.356104,79.372649,Tamil Nadu GWB,Cauvery
Erode Agricultural Station,Erode,Tamil Nadu,12.051105,77.494835,Tamil Nadu GWB,Cauvery
Chennai Anna Nagar,Chennai,Tamil Nadu,12.33056,76.48643,Tamil Nadu GWB,Cauvery
Erode Railway Colony,Erode,Tamil Nadu,9.22608,78.970149,Tamil Nadu GWB,Krishna
