Station_name,District_name,State_name,Latitude,Longitude,Agency_name,Basin
GWS001,Anantapur,Andhra Pradesh,13.279317,82.432404,Andhra Pradesh GW,Krishna
GWS002,Anantapur,Andhra Pradesh,13.217466,82.425342,Andhra Pradesh GW,Pennar
GWS003,Chittoor,Andhra Pradesh,12.722479,77.249562,Andhra Pradesh GW,Pennar
GWS004,Visakhapatnam,Andhra Pradesh,16.428715,82.228157,CGWB,Godavari
GWS005,Guntur,Andhra Pradesh,15.644463,78.725526,CGWB,Krishna
GWS006,Anantapur,Andhra Pradesh,15.458301,78.722971,Andhra Pradesh GW,Godavari
GWS007,Visakhapatnam,Andhra Pradesh,13.149221,77.273731,CGWB,Pennar
GWS008,Tirunelveli,Tamil Nadu,12.439206,79.283793,Tamil Nadu GW,Krishna
GWS009,Coimbatore,Tamil Nadu,11.036223,79.732321,Tamil Nadu GW,Krishna
GWS010,Tiruchirappalli,Tamil Nadu,11.875145,76.20621,Tamil Nadu GW,Krishna
GWS011,Coimbatore,Tamil Nadu,12.704247,79.899177,Tamil Nadu GW,Krishna
GWS012,Salem,Tamil Nadu,8.894598,77.598718,Tamil Nadu GW,Vaigai
GWS013,Coimbatore,Tamil Nadu,11.350221,76.770124,CGWB,Cauvery
GWS014,Vellore,Tamil Nadu,10.087005,80.452855,Tamil Nadu GW,Vaigai
GWS015,Mysuru,Karnataka,16.2923,77.792834,CGWB,Krishna
GWS016,Shivamogga,Karnataka,11.724702,75.419539,Karnataka GW,Krishna
GWS017,Kalaburagi,Karnataka,17.634573,75.41605,Karnataka GW,Cauvery
GWS018,Tumakuru,Karnataka,14.711963,75.191961,Karnataka GW,Godavari
GWS019,Kalaburagi,Karnataka,13.339191,76.630637,CGWB,Cauvery
GWS020,Hubli-Dharwad,Karnataka,13.035245,78.488919,Karnataka GW,Krishna
GWS021,Shivamogga,Karnataka,11.829815,74.493421,Karnataka GW,Godavari
GWS022,Dhule,Maharashtra,19.376659,75.578138,Maharashtra GW,Narmada
GWS023,Solapur,Maharashtra,21.812009,79.386238,Maharashtra GW,Krishna
GWS024,Solapur,Maharashtra,20.495892,75.221404,Maharashtra GW,Godavari
GWS025,Kolhapur,Maharashtra,15.521095,78.276736,CGWB,Godavari
GWS026,Pune,Maharashtra,21.158371,74.887558,Maharashtra GW,Godavari
GWS027,Nagpur,Maharashtra,17.93044,73.792392,CGWB,Krishna
GWS028,Aurangabad,Maharashtra,18.675937,73.394942,Maharashtra GW,Tapi
GWS029,Varanasi,Uttar Pradesh,24.188099,83.585072,CGWB,Ganga
GWS030,Gorakhpur,Uttar Pradesh,29.267356,84.334884,Uttar Pradesh GW,Ganga
GWS031,Agra,Uttar Pradesh,28.220331,84.101365,Uttar Pradesh GW,Yamuna
GWS032,Varanasi,Uttar Pradesh,30.02372,82.664489,Uttar Pradesh GW,Yamuna
GWS033,Bareilly,Uttar Pradesh,30.467501,81.874085,Uttar Pradesh GW,Yamuna
GWS034,Kanpur,Uttar Pradesh,25.460968,77.480194,Uttar Pradesh GW,Ganga
GWS035,Varanasi,Uttar Pradesh,23.848179,82.308807,Uttar Pradesh GW,Ganga
GWS036,Jaipur,Rajasthan,29.189375,70.137716,Rajasthan GW,Sabarmati
GWS037,Bikaner,Rajasthan,26.882484,76.010173,CGWB,Sabarmati
GWS038,Bikaner,Rajasthan,28.64926,76.767473,Rajasthan GW,Indus
GWS039,Pali,Rajasthan,25.550942,73.19992,CGWB,Indus
