station_name,timestamp,groundwaterlevel_mbgl,rainfall_mm,temperature_c,ph,turbidity_ntu,tds_ppm
GWS001,2023-01-01,29.98,9.0,8.0,7.09,1.81,1277
GWS001,2023-01-08,29.35,0.0,8.0,7.3,1.77,1333
GWS001,2023-01-15,28.33,0.0,8.0,7.38,2.59,1209
GWS001,2023-01-22,29.4,0.0,8.0,6.88,1.91,1103
GWS001,2023-01-29,28.68,0.0,8.0,6.99,2.55,1283
GWS001,2023-02-05,29.55,0.0,8.0,7.33,2.3,1348
GWS001,2023-02-12,28.13,0.0,8.0,7.61,1.93,1263
GWS001,2023-02-19,29.02,0.0,8.0,7.11,2.51,1181
GWS001,2023-02-26,29.18,1.9,8.0,7.38,1.68,1255
GWS001,2023-03-05,32.51,60.5,20.4,7.13,3.46,1551
GWS001,2023-03-12,30.35,0.0,21.9,7.35,1.77,1536
GWS001,2023-03-19,31.39,75.0,26.9,6.98,6.41,1285
GWS001,2023-03-26,31.72,0.0,23.4,7.43,1.83,1461
GWS001,2023-04-02,32.88,0.0,34.6,7.02,2.2,1268
GWS001,2023-04-09,34.74,0.0,33.9,7.25,1.75,1555
GWS001,2023-04-16,34.05,40.2,39.5,7.42,5.9,1414
GWS001,2023-04-23,32.49,0.0,38.7,7.47,2.48,1407
GWS001,2023-04-30,35.95,0.0,40.8,7.03,1.67,1478
GWS001,2023-05-07,34.83,0.0,45.0,7.26,1.91,1572
GWS001,2023-05-14,35.06,0.0,45.0,7.38,1.8,1467
GWS001,2023-05-21,32.01,0.0,45.0,7.29,2.55,1378
GWS001,2023-05-28,33.34,0.0,45.0,7.35,2.61,1247
GWS001,2023-06-04,23.18,29.6,38.6,7.17,3.68,1319
GWS001,2023-06-11,25.45,30.1,34.8,7.08,6.39,1125
GWS001,2023-06-18,25.87,0.0,35.9,7.24,1.63,1167
GWS001,2023-06-25,22.74,125.5,37.1,7.59,5.71,1163
GWS001,2023-07-02,23.76,0.0,40.1,7.53,1.64,1277
GWS001,2023-07-09,22.48,0.0,35.5,7.11,2.47,1197
GWS001,2023-07-16,24.54,138.6,35.6,7.44,7.04,1202
GWS001,2023-07-23,22.15,186.9,33.4,7.21,6.87,1279
GWS001,2023-07-30,23.77,0.0,29.1,7.28,1.93,1344
GWS001,2023-08-06,24.14,65.2,34.4,7.4,4.41,1161
GWS001,2023-08-13,22.31,32.9,25.6,7.28,4.56,1315
GWS001,2023-08-20,23.45,7.5,28.6,7.11,2.11,1186
GWS001,2023-08-27,25.95,97.5,24.0,7.12,8.0,1381
GWS001,2023-09-03,21.31,36.4,26.0,7.01,5.46,1253
GWS001,2023-09-10,23.34,9.8,23.0,7.22,2.02,1237
GWS001,2023-09-17,24.78,31.8,17.8,7.22,6.34,1239
GWS001,2023-09-24,21.61,60.2,19.9,6.86,4.68,1139
GWS001,2023-10-01,28.71,22.1,17.5,7.35,4.09,1131
GWS001,2023-10-08,27.92,0.0,21.1,7.4,2.57,1111
GWS001,2023-10-15,27.62,0.0,16.3,7.29,2.22,1258
GWS001,2023-10-22,28.55,19.0,19.1,7.23,2.66,1227
GWS001,2023-10-29,29.43,49.3,14.5,7.15,4.62,1354
GWS001,2023-11-05,27.54,0.0,13.3,7.51,1.89,1315
GWS001,2023-11-12,28.86,0.0,15.4,7.1,1.86,1237
GWS001,2023-11-19,28.74,14.5,11.1,7.52,2.36,1305
GWS001,2023-11-26,29.58,0.0,10.3,7.28,1.84,1263
GWS001,2023-12-03,27.86,0.0,8.0,7.19,1.89,1135
GWS001,2023-12-10,27.12,0.0,8.0,7.06,2.34,1356
GWS001,2023-12-17,27.06,0.0,8.0,6.95,1.89,1359
GWS001,2023-12-24,27.13,0.0,8.0,7.27,2.06,1111
GWS001,2023-12-31,27.88,0.0,8.0,7.17,1.77,1231
GWS001,2024-01-07,27.21,0.0,8.0,7.07,2.07,1256
GWS001,2024-01-14,27.63,0.0,8.0,7.41,1.83,1240
GWS001,2024-01-21,27.14,9.6,8.0,7.13,2.32,1242
GWS001,2024-01-28,28.6,0.0,8.0,7.2,2.26,1369
GWS001,2024-02-04,27.32,0.0,8.0,6.99,2.3,1329
